institution	graduate_level	program_name	discipline_name	unified_name	code	расшифровка
			Цифровые технологии в гуманитарной сфере (введение в специальность DH)	Цифровые гуманитарные науки	DH	digital humanities
			Английский язык	Английский язык	EN	english language
			Теория и практика бизнес-коммуникаций	Бизнес-коммуникации	BC	business communications
			Компьютерная лингвистика	Компьютерная лингвистика	COML	computational linguistics
			Качественные методы в социальных науках 	Качественные методы	QLM	qualitative methods
			Основы проектной деятельности	Проектный менеджмент	PM	project management
			Основы SQL и работа с базами данных	Базы данных	DB	databases
			Прикладная статистика и анализ данных	Анализ данных	DS	data science
			Работа с данными с помощью Python	Python	PY	python
			Технологии работы с визуальным контентом	Визуальный контент	VC	visual content
			Системный анализ	Системный анализ	SA	system analysis
			Основы публичных выступлений и презентаций	Публичные выступления и презентации	PS	public speaking
			Создание и запуск ИТ-продукта	Продуктовый менеджмент	PRM	product management
			Работа в сервисах отчетности	CRM	CRM	CRM
			Бизнес-анализ	Бизнес-анализ	BA	business analysis
			Академическое письмо	Академическое письмо	AW	academic writing
			Цифровые технологии в образовании	Цифровые методы	DM	digital methods
			Внутрикорпоративные коммуникации	Бизнес-коммуникации	BC	business communications
			Исследования пользователей	UX-исследования	UX	UX
			Прикладной маркетинг	Маркетинг	MK	marketing
			Развитие продукта	Продуктовый менеджмент	PRM	product management
			Антропология социальных медиа	Цифровая антропология	DA	digital anthropology
			Анализ больших данных	Анализ больших данных	BD	big data
			Информационные технологии в музейной практике	Цифровые методы	DM	digital methods
			Психология человека в цифровом мире	Цифровая психология	DP	digital psychology
			Теория медиа	Теория медиа	MT	media theory
			Цифровые методы в исторических исследованиях	Цифровые гуманитарные науки	DH	digital humanities
УрФУ им. первого Президента России Б.Н. Ельцина	Бакалавриат	Информационное и документационное обеспечение управления	История России и Всеобщая история	История	HS	history
			Государственная служба в РФ: история, теория, практика	Государственная служба в РФ	GVN	government
			Документационное обеспечение управления	Документоведение	DMG	document management
			Теория и практика архивного дела	Архивоведение	AS	archive studies
			Компьютерные технологии в архивном деле и ДОУ	Цифровые методы	DM	digital methods
			Информационное, архивное, трудовое, административное право	Право	LAW	law
			Кадровое обеспечение управления	HR	HR	HR
			Основы информационной безопасности	Основы информационной безопасности	DSB	digital security basics
			Информационно-аналитическая деятельность	Цифровые методы	DM	digital methods
			Информационные системы в архивном деле и управлении	Цифровые методы	DM	digital methods
			Менеджмент: основы делового администрирования	Проектный менеджмент	PM	project management
УрФУ им. первого Президента России Б.Н. Ельцина	Магистратура	Государственная служба Российской Федерации	Регионально-корпоративные модели управления	Бизнес-коммуникации	BC	business communications
			Картографические документы в системе управления	ГИС	GIS	GIS
			Практико-ориентированные технологии в управлении	Менеджмент	MG	management
			Эффективная организация управленческих мероприятий	Менеджмент	MG	management
			Правовое и кадровой обеспечение государственной службы	Право	LAW	law
			Основы аналитической и экспертной деятельности в профессиональной области	Аналитическая и экспертная деятельность	EX	expert
			Государственное управление в России: история и современность	Государственная служба в РФ	GVN	government
			Практика преподавания профильных дисциплин в высшей школе	Преподавание	TT	teaching
			Технологии научной и проектной деятельности	Основы научных исследований	RB	research basics
Алтайский государственный университет	Бакалавриат	Документационное обеспечение управления и архивы в условиях цифровой трансформации	История (история России, всеобщая история)	История	HS	history
			Философия	Философия	PH	philosophy
			Человек в современном мире	Научно-исследовательский семинар	RS	research seminar
			Практикум "Человек в современном мире" (дисциплины по выбору)	Научно-исследовательский семинар	RS	research seminar
			Экономика личных решений	Экономика личных решений	PDE	personal decisions econ.
			Политика и управление	Политология	PT	politology
			Культура и креативность	Креативность	CR	creativity
			Основы современной социологии	Социология	SC	sociology
			Деловое общение: риторика и письмо	Риторика	RH	rhetorics
			Иностранный язык	Иностранный язык	FL	foreign language
			Цифровая культура	Цифровые методы	DM	digital methods
			Цифровая культура в профессиональной деятельности	Цифровые методы	DM	digital methods
			Правовая культура	Право	LAW	law
			Проектный менеджмент	Проектный менеджмент	PM	project management
			Практикум "Проектный менеджмент"	Проектный менеджмент	PM	project management
			Методы организации и проведения исторического исследования	Основы научных исследований	RB	research basics
			Теория и практика исследовательской деятельности	Исследования	RS	research
			Презентация результатов научного исследования	Основы научных исследований	RB	research basics
			Безопасность жизнедеятельности	БЖД	BZHD	БЖД
			Физическая культура и спорт	Физкультура	PE	physical education
			Элективные дисциплины по физической культуре и спорту	Физкультура	PE	physical education
			Историческая хронология	История	HS	history
			Источниковедение	Источниковедение	SS	source studies
			Документология	Документоведение	DMG	document management
			История отечественной культуры	История	HS	history
			Документоведение	Документоведение	DMG	document management
			Организация и технология ДОУ	Документоведение	DMG	document management
			Культура оформления документов	Документоведение	DMG	document management
			Организация работы в офисе	Работа в офисе	WO	working in the office
			Организация государственных учреждений России	Государственная служба в РФ	GVN	government
			Организация работы с обращениями граждан	Государственная служба в РФ	GVN	government
			Технотронные документы и архивы	Цифровые архивы	DAR	digital archives
			Электронный документооборот	Цифровые архивы	DAR	digital archives
			Кадровое делопроизводство	HR	HR	HR
			Электронное правительство	Электронное правительство	DG	digital government
			Конфиденциальное делопроизводство	Конфиденциальное делопроизводство	COW	confidential office work
			Информационно-аналитическое обеспечение органов управления	Менеджмент	MG	management
			Всеобщая история архивов	История архивов	AH	archive history
			История государственных учреждений	История государственных учреждений	HGA	history of government agencies
			История архивов России	История архивов	AH	archive history
			Использование архивных документов	Архивоведение	AS	archive studies
			Архивоведение	Архивоведение	AS	archive studies
			Научно-технические документы и архивы	Технические документы	TD	technical documents
			Местное самоуправление и муниципальные архивы	Государственная служба в РФ	GVN	government
			Обеспечение сохранности, консервация и реставрация документов	Реставрация документов	DR	document restoration
			Архивная эвристика	Эвристика	HEU	heuristics
			Архивный аутсорсинг и краудсорсинг	Аутсорсинг и краудсорсинг	OU	outsourcing
			Цифровые технологии в архивном деле	Цифровые гуманитарные науки	DH	digital humanities
			Научно-исследовательская и проектная деятельность	Исследования	RS	research
			Основы научных исследований	Основы научных исследований	RB	research basics
			Управление проектами в профессиональной деятельности	Проектный менеджмент	PM	project management
Алтайский государственный университет	Магистратура	Анализ данных и разработка цифровых медиа		-	-	-
Сибирский федеральный университет	Магистратура	Прикладная информатика в области искусств и гуманитарных наук	Антропология	Антропология	AN	anthropology
			Визуальная антропология	Визуальная антропология	VAN	visual anthropology
			Визуальная семиотика и дизайн	Визуальная семиотика	VS	visual semiotics
			Виртуальные музеи	Виртуальные музеи	VM	virtual museums
			Городское и территориальное развитие	Городское развитие	UR	urban studies
			Деловой иностранный язык	Иностранный язык	FL	foreign language
			Информационное общество и проблемы прикладной информатики	Информатика	IT	IT
			Информационные технологии в искусстве и гуманитарных науках	Цифровые гуманитарные науки	DH	digital humanities
			Креативные индустрии	Креативность	CR	creativity
			Методология и технология проектирования информационных систем	Программная инженерия	SE	software engineering
			Научно исследовательский семинар	Научно исследовательский семинар	RS	research seminar
			Основы научных исследований	Основы научных исследований	RB	research basics
			Практический курс письменного перевода	Письменный перевод	TR	translation
			Программная инженерия	Программная инженерия	SE	software engineering
			Статистические методы в гуманитарных исследованиях	Статические методы	SM	static methods
			Теория и практика виртуальной реальности и искусственного интеллекта	VR/AR	VR	virtual reality
			Теория и практика креативной деятельности	Креативность	CR	creativity
			Территориальное развитие: социокультурное измерение	Культурное наследие	CUH	cultural heritage
			Технологии визуализации культурных объектов	Визуализация данных	DV	dataviz
			Технологии сохранения: актуализации и репрезентации культурного наследия	Культурное наследие	CUH	cultural heritage
			Уникальные историко-культурные территории	Культурное наследие	CUH	cultural heritage
			Управление информационными проектами в социально-культурной сфере	Проектный менеджмент	PM	project management
			Философские проблемы науки и техники	Проблемы науки и техники	SP	science problems
Национальный исследовательский университет «Высшая школа экономики» (Москва)	Магистратура	Цифровые методы в гуманитарных науках	Проектно-исследовательский семинар "Цифровые проекты"	Проектный семинар	PS	project seminar
			Digital Humanities (семинар наставника)	Цифровые гуманитарные науки	DH	digital humanities
			Пространственный анализ и ГИС в гуманитарных областях	ГИС	GIS	GIS
			Продуктовый дизайн цифровых ресурсов	Продуктовый дизайн	PD	product design
			Социально-сетевой анализ гуманитарных данных	Социальные сети	SN	social networks
			Веб-девелопмент	Веб-разработка	WD	web development
			Машинное обучение	Машинное обучение	ML	machine learning
			Программирование на языке R	R	R	R
			VR/AR для культуры и искусства	VR/AR	VR	virtual reality
			Новые медиа	Теория медиа	MT	media theory
			Программирование на языке Python	Python	PY	python
			Объектно-ориентированное программирование на языке Python	Python	PY	python
			SQL и noSQL базы данных	Базы данных	DB	databases
			Антропология цифрового и цифровые методы в гуманитарных науках	Цифровая антропология	DA	digital anthropology
			Информационные системы и базы данных в гуманитарных областях	Базы данных	DB	databases
			Анализ данных	Анализ данных	DS	data science
			Анализ текстов и дальнее чтение	Дальнее чтение	DR	distant reading
			Цифровые методы в сохранении и презентации культурного наследия	Цифровые гуманитарные науки	DH	digital humanities
Национальный исследовательский университет «Высшая школа экономики» (Пермь)	Магистратура	Цифровые методы в гуманитарных науках	Проектно-исследовательский семинар "Цифровые проекты"	Проектный семинар	PS	project seminar
			Научно-исследовательский семинар "Методология цифровых гуманитарных исследований"	Научно-исследовательский семинар	RS	research seminar
			Digital Humanities (семинар наставника)	Проектный семинар	PS	project seminar
			Анализ данных на Python	Python	PY	python
			Цифровые методы в сохранении и презентации культурного наследия	Цифровые гуманитарные науки	DH	digital humanities
			Информационные системы и базы данных в гуманитарных областях	Базы данных	DB	databases
			Антропология цифрового и цифровые методы в гуманитарных науках	Цифровая антропология	DA	digital anthropology
			Анализ текстов и дальнее чтение	Дальнее чтение	DR	distant reading
			SQL и noSQL базы данных	Базы данных	DB	databases
			Программирование на языке R	R	R	R
			VR/AR для культуры и искусства	VR/AR	VR	virtual reality
			Пространственный анализ и ГИС в гуманитарных областях	ГИС	GIS	GIS
			Продуктовый дизайн цифровых ресурсов	Продуктовый дизайн	PD	product design
			Машинное обучение	Машинное обучение	ML	machine learning
			Социально-сетевой анализ гуманитарных данных	Социальные сети	SN	social networks
			Веб-девелопмент	Веб-разработка	WD	web development
			Новые медиа	Теория медиа	MT	media theory
ИТМО	Магистратура	Цифровые методы в гуманитарных исследованиях	Введение в цифровые гуманитарные исследования	Цифровые гуманитарные науки	DH	digital humanities
			Основы программирования	Основы программирования	PB	programming basics
			Проектный семинар	Проектный семинар	PS	project seminar
			Основы веб-разработки	Веб-разработка	WD	web development
			Основы мобильной разработки	Мобильная разработка	MD	mobile development
			Основы разработки интерфейсов с помощью low-code инструментов	Low-code разработка	LC	low code
			Основы геймификации	Геймификация	GF	gamification
			Геймдизайн как способ работы с культурным наследием	Гейм дизайн	GD	game design
			Исследование как проект (и призвание)	Исследования	RS	research
			Проектный менеджмент	Проектный менеджмент	PM	project management
			Визуализация данных	Визуализация данных	DV	dataviz
			Дата сторителлинг	Дата сторителлинг	DST	data storytelling
			Продюсирование цифровых проектов	Продуктовый менеджмент	PRM	product management
			UX-исследования	UX-исследования	UX	UX
			Основы трансмедийного сторителлинга	Трансмедийный сторителлинг	TMS	trans media stortelling
			Управление контентом в культурных институциях	Управление контентом	COM	content management
			Теории и методы интернет-исследований	Интернет-исследования	IS	internet studies
			Социальная история интернета и исследования инфраструктур, материальных и цифровых	Интернет-исследования	IS	internet studies
			Социальная жизнь алгоритмов и данных в интернете	Интернет-исследования	IS	internet studies
			Антропология социальных медиа	Цифровая антропология	DA	digital anthropology
